id,trait,experience_band,question,answer_text,empathy_score,structure_score,positivity_score,ownership_score,target_score,target_label
3107,Attention to detail,junior_professional,Describe a time attention to detail prevented a problem.,"In my last project, I used a simple STAR structure. I focused on edge cases, quality, checklist, review, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",78,62,95,64,78,pass
3108,Communication,mid_level_expert,Describe a time clear communication helped a project.,"In a university project, I used a simple STAR structure. I focused on clarify, questions, audience, simple language, summarize, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",95,78,91,100,93,pass
3109,Communication,fresher,How do you explain complex work to non-technical people?,"In a university project, I tried to help but my answer was not very structured. I mentioned questions, audience, updates and learned that I should communicate earlier. This helped me become more reliable.",38,39,30,30,35,fail
3110,Communication,senior_professional,Describe a time clear communication helped a project.,"During a sprint review, I used a simple STAR structure. I focused on summarize, clarify, questions, audience, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",57,63,38,57,65,fail
3111,Communication,senior_professional,How do you explain complex work to non-technical people?,"In my last project, I tried to help but my answer was not very structured. I mentioned simple language, summarize and learned that I should communicate earlier. I kept the discussion respectful.",35,50,23,32,45,fail
3112,Stress handling,fresher,Describe a high-pressure situation and your response.,"During a sprint review, I used a simple STAR structure. I focused on escalate, breaks, focus, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",67,93,77,78,66,fail
3113,Stress handling,mid_level_expert,Describe a high-pressure situation and your response.,"In my last project, I used a simple STAR structure. I focused on focus, plan, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",63,59,53,77,71,pass
3114,Attention to detail,junior_professional,How do you review your work before delivery?,"During a sprint review, I tried to help but my answer was not very structured. I mentioned review, edge cases, documentation, accuracy, checklist and learned that I should communicate earlier. The experience improved my confidence.",55,40,55,25,52,fail
3115,Communication,mid_level_expert,Describe a time clear communication helped a project.,"While handling a delivery, I clarified the action, listened to concerns, took ownership of my part, used audience, simple language, clarify, questions, summarize, and measured the result. I also reflected on what I would improve next time. The experience improved my confidence.",81,85,100,100,90,pass
3116,Attention to detail,junior_professional,Describe a time attention to detail prevented a problem.,"During a team task, I used a simple STAR structure. I focused on documentation, quality, edge cases, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",48,76,39,43,49,fail
3117,Stress handling,senior_professional,Describe a high-pressure situation and your response.,"In a university project, I clarified the result, listened to concerns, took ownership of my part, used focus, escalate, calm, breaks, and measured the result. I also reflected on what I would improve next time. I kept the discussion respectful.",62,93,62,98,90,pass
3118,Attention to detail,senior_professional,How do you review your work before delivery?,"During a sprint review, I used a simple STAR structure. I focused on documentation, review, checklist, accuracy, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",79,86,64,50,71,pass
3119,Openness to learning,mid_level_expert,How do you respond when feedback shows you were wrong?,"In a university project, I used a simple STAR structure. I focused on experiment, practice, course, reflection, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",49,48,59,53,46,fail
3120,Openness to learning,junior_professional,How do you respond when feedback shows you were wrong?,"During a sprint review, I tried to help but my answer was not very structured. I mentioned course, reflection, mentor and learned that I should communicate earlier. This helped me become more reliable.",52,61,68,34,49,fail
3121,Stress handling,junior_professional,Describe a high-pressure situation and your response.,"While handling a delivery, I used a simple STAR structure. I focused on prioritize, plan, focus, breaks, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",63,51,63,67,63,fail
3122,Openness to learning,junior_professional,Describe a time you learned a new tool quickly.,"In a university project, I used a simple STAR structure. I focused on mentor, course, reflection, experiment, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",64,52,91,74,72,pass
3123,Openness to learning,senior_professional,How do you respond when feedback shows you were wrong?,"During a team task, I used a simple STAR structure. I focused on course, mentor, experiment, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",79,69,84,67,76,pass
3124,Stress handling,industry_veteran,How do you stay productive during deadlines?,"During a sprint review, I used a simple STAR structure. I focused on calm, escalate, focus, breaks, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",77,88,90,77,89,pass
3126,Openness to learning,fresher,Describe a time you learned a new tool quickly.,"In my last project, I used a simple STAR structure. I focused on practice, mentor, feedback, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",71,75,86,76,80,pass
3127,Attention to detail,industry_veteran,Describe a time attention to detail prevented a problem.,"In my last project, I clarified the situation, listened to concerns, took ownership of my part, used documentation, checklist, accuracy, edge cases, and measured the result. I also reflected on what I would improve next time. The experience improved my confidence.",84,100,99,91,100,pass
3128,Stress handling,fresher,Describe a high-pressure situation and your response.,"In my last project, I used a simple STAR structure. I focused on escalate, plan, focus, calm, breaks, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",98,50,53,99,75,pass
3129,Stress handling,junior_professional,How do you stay productive during deadlines?,"In my last project, I used a simple STAR structure. I focused on escalate, focus, calm, prioritize, plan, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",74,70,88,100,75,pass
3130,Stress handling,industry_veteran,How do you stay productive during deadlines?,"In my last project, I tried to help but my answer was not very structured. I mentioned plan, focus and learned that I should communicate earlier. This helped me become more reliable.",48,46,60,66,71,pass
3131,Collaboration,senior_professional,How do you support teammates during pressure?,"During a sprint review, I clarified the result, listened to concerns, took ownership of my part, used shared goal, support, feedback, listen, team, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",100,100,88,85,100,pass
3132,Attention to detail,fresher,Describe a time attention to detail prevented a problem.,"In my last project, I clarified the task, listened to concerns, took ownership of my part, used checklist, review, edge cases, accuracy, documentation, and measured the result. I also reflected on what I would improve next time. The experience improved my confidence.",83,64,77,84,68,fail
3133,Communication,senior_professional,Describe a time clear communication helped a project.,"During a sprint review, I clarified the result, listened to concerns, took ownership of my part, used audience, updates, simple language, and measured the result. I also reflected on what I would improve next time. The experience improved my confidence.",85,96,83,100,77,pass
3134,Openness to learning,industry_veteran,Describe a time you learned a new tool quickly.,"During a team task, I clarified the situation, listened to concerns, took ownership of my part, used reflection, course, and measured the result. I also reflected on what I would improve next time. The experience improved my confidence.",94,99,91,100,87,pass
3135,Openness to learning,fresher,Describe a time you learned a new tool quickly.,"While handling a delivery, I clarified the action, listened to concerns, took ownership of my part, used practice, course, reflection, mentor, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",70,75,89,82,92,pass
3136,Stress handling,fresher,Describe a high-pressure situation and your response.,"During a sprint review, I used a simple STAR structure. I focused on plan, breaks, escalate, prioritize, calm, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",53,47,88,45,59,fail
3137,Communication,industry_veteran,Describe a time clear communication helped a project.,"During a sprint review, I used a simple STAR structure. I focused on simple language, audience, summarize, updates, questions, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",49,37,56,73,48,fail
3138,Attention to detail,junior_professional,Describe a time attention to detail prevented a problem.,"During a team task, I clarified the action, listened to concerns, took ownership of my part, used checklist, edge cases, review, quality, and measured the result. I also reflected on what I would improve next time. I shared the learning with others.",100,100,75,89,100,pass
3139,Collaboration,fresher,Tell me about a time you worked with a difficult team situation.,"While handling a delivery, I tried to help but my answer was not very structured. I mentioned feedback, support, team and learned that I should communicate earlier. I kept the discussion respectful.",49,38,46,32,46,fail
3140,Stress handling,senior_professional,Describe a high-pressure situation and your response.,"While handling a delivery, I clarified the action, listened to concerns, took ownership of my part, used prioritize, focus, calm, escalate, breaks, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",96,83,85,68,73,pass
3141,Openness to learning,fresher,How do you respond when feedback shows you were wrong?,"During a team task, I used a simple STAR structure. I focused on practice, feedback, reflection, mentor, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",67,71,87,84,74,pass
3142,Collaboration,senior_professional,How do you support teammates during pressure?,"While handling a delivery, I used a simple STAR structure. I focused on listen, feedback, shared goal, align, support, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",89,62,88,63,86,pass
3143,Stress handling,mid_level_expert,Describe a high-pressure situation and your response.,"During a team task, I clarified the task, listened to concerns, took ownership of my part, used plan, escalate, breaks, and measured the result. I also reflected on what I would improve next time. I shared the learning with others.",98,74,100,100,88,pass
3144,Attention to detail,mid_level_expert,How do you review your work before delivery?,"While handling a delivery, I clarified the situation, listened to concerns, took ownership of my part, used quality, checklist, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",88,91,66,63,87,pass
3145,Attention to detail,senior_professional,Describe a time attention to detail prevented a problem.,"In my last project, I used a simple STAR structure. I focused on documentation, quality, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",49,82,79,80,69,fail
3146,Openness to learning,senior_professional,How do you respond when feedback shows you were wrong?,"During a team task, I used a simple STAR structure. I focused on feedback, course, reflection, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",42,49,56,32,43,fail
3147,Collaboration,junior_professional,How do you support teammates during pressure?,"While handling a delivery, I tried to help but my answer was not very structured. I mentioned feedback, shared goal, align and learned that I should communicate earlier. I shared the learning with others.",49,37,37,49,45,fail
3148,Attention to detail,senior_professional,How do you review your work before delivery?,"During a sprint review, I tried to help but my answer was not very structured. I mentioned documentation, edge cases, accuracy and learned that I should communicate earlier. I shared the learning with others.",36,51,49,48,43,fail
3149,Communication,senior_professional,Describe a time clear communication helped a project.,"During a team task, I tried to help but my answer was not very structured. I mentioned audience, updates, summarize and learned that I should communicate earlier. The experience improved my confidence.",28,66,54,59,54,fail
3150,Collaboration,industry_veteran,How do you support teammates during pressure?,"In a university project, I tried to help but my answer was not very structured. I mentioned shared goal, feedback, team, listen and learned that I should communicate earlier. I kept the discussion respectful.",43,51,19,31,34,fail
3151,Collaboration,fresher,Tell me about a time you worked with a difficult team situation.,"During a team task, I used a simple STAR structure. I focused on shared goal, align, feedback, team, listen, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",72,67,83,79,82,pass
3152,Stress handling,junior_professional,How do you stay productive during deadlines?,"While handling a delivery, I used a simple STAR structure. I focused on plan, calm, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",88,41,58,58,59,fail
3153,Attention to detail,fresher,Describe a time attention to detail prevented a problem.,"In a university project, I tried to help but my answer was not very structured. I mentioned review, documentation, edge cases and learned that I should communicate earlier. The experience improved my confidence.",32,35,50,34,35,fail
3154,Openness to learning,mid_level_expert,Describe a time you learned a new tool quickly.,"During a sprint review, I used a simple STAR structure. I focused on experiment, mentor, practice, feedback, course, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",74,79,64,80,68,fail
3155,Communication,junior_professional,How do you explain complex work to non-technical people?,"While handling a delivery, I clarified the task, listened to concerns, took ownership of my part, used simple language, clarify, updates, audience, summarize, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",100,100,100,100,100,pass
3156,Openness to learning,mid_level_expert,How do you respond when feedback shows you were wrong?,"During a team task, I used a simple STAR structure. I focused on course, practice, experiment, mentor, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",56,95,60,86,81,pass
3157,Attention to detail,industry_veteran,Describe a time attention to detail prevented a problem.,"While handling a delivery, I clarified the situation, listened to concerns, took ownership of my part, used documentation, edge cases, accuracy, review, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",66,90,85,100,90,pass
3158,Stress handling,fresher,How do you stay productive during deadlines?,"In a university project, I tried to help but my answer was not very structured. I mentioned breaks, plan, escalate, prioritize and learned that I should communicate earlier. This helped me become more reliable.",47,43,24,45,35,fail
3159,Attention to detail,fresher,How do you review your work before delivery?,"In a university project, I used a simple STAR structure. I focused on edge cases, accuracy, review, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",80,60,74,84,76,pass
3160,Openness to learning,fresher,Describe a time you learned a new tool quickly.,"In a university project, I clarified the result, listened to concerns, took ownership of my part, used practice, experiment, mentor, feedback, course, and measured the result. I also reflected on what I would improve next time. I shared the learning with others.",66,99,87,88,62,fail
3161,Openness to learning,senior_professional,How do you respond when feedback shows you were wrong?,"In my last project, I used a simple STAR structure. I focused on experiment, practice, mentor, course, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",89,72,48,75,76,pass
3162,Attention to detail,senior_professional,Describe a time attention to detail prevented a problem.,"In my last project, I clarified the situation, listened to concerns, took ownership of my part, used quality, documentation, checklist, and measured the result. I also reflected on what I would improve next time. I shared the learning with others.",95,75,79,70,86,pass
3163,Openness to learning,junior_professional,Describe a time you learned a new tool quickly.,"While handling a delivery, I clarified the action, listened to concerns, took ownership of my part, used experiment, course, feedback, and measured the result. I also reflected on what I would improve next time. I shared the learning with others.",85,85,95,80,96,pass
3164,Collaboration,mid_level_expert,Tell me about a time you worked with a difficult team situation.,"During a team task, I used a simple STAR structure. I focused on feedback, support, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",96,66,52,76,69,fail
3165,Attention to detail,mid_level_expert,How do you review your work before delivery?,"During a team task, I used a simple STAR structure. I focused on edge cases, quality, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",86,61,78,72,68,fail
3166,Collaboration,mid_level_expert,Tell me about a time you worked with a difficult team situation.,"While handling a delivery, I used a simple STAR structure. I focused on listen, shared goal, support, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",72,80,70,70,66,fail
3167,Openness to learning,junior_professional,How do you respond when feedback shows you were wrong?,"While handling a delivery, I used a simple STAR structure. I focused on reflection, practice, mentor, experiment, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",87,85,67,71,87,pass
3168,Attention to detail,junior_professional,How do you review your work before delivery?,"In a university project, I clarified the situation, listened to concerns, took ownership of my part, used checklist, quality, review, accuracy, and measured the result. I also reflected on what I would improve next time. I shared the learning with others.",68,90,74,100,82,pass
3169,Stress handling,senior_professional,How do you stay productive during deadlines?,"During a sprint review, I used a simple STAR structure. I focused on breaks, prioritize, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",80,54,46,60,65,fail
3170,Stress handling,mid_level_expert,How do you stay productive during deadlines?,"In my last project, I clarified the action, listened to concerns, took ownership of my part, used plan, focus, breaks, escalate, prioritize, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",72,88,76,52,76,pass
3171,Stress handling,fresher,Describe a high-pressure situation and your response.,"During a team task, I used a simple STAR structure. I focused on focus, breaks, plan, calm, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",44,51,78,79,54,fail
3172,Collaboration,fresher,How do you support teammates during pressure?,"While handling a delivery, I tried to help but my answer was not very structured. I mentioned shared goal, align and learned that I should communicate earlier. I shared the learning with others.",37,23,26,22,10,fail
3173,Communication,industry_veteran,How do you explain complex work to non-technical people?,"While handling a delivery, I clarified the action, listened to concerns, took ownership of my part, used clarify, audience, simple language, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",87,89,76,100,88,pass
3174,Attention to detail,industry_veteran,Describe a time attention to detail prevented a problem.,"In my last project, I used a simple STAR structure. I focused on documentation, accuracy, checklist, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",49,63,35,69,55,fail
3175,Collaboration,mid_level_expert,How do you support teammates during pressure?,"In a university project, I used a simple STAR structure. I focused on align, shared goal, listen, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",78,80,74,54,61,fail
3176,Collaboration,junior_professional,Tell me about a time you worked with a difficult team situation.,"During a team task, I used a simple STAR structure. I focused on listen, shared goal, team, feedback, align, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",41,73,58,52,53,fail
3177,Openness to learning,industry_veteran,How do you respond when feedback shows you were wrong?,"While handling a delivery, I tried to help but my answer was not very structured. I mentioned mentor, reflection, feedback and learned that I should communicate earlier. I shared the learning with others.",69,64,61,63,69,fail
3178,Openness to learning,industry_veteran,Describe a time you learned a new tool quickly.,"During a sprint review, I used a simple STAR structure. I focused on mentor, experiment, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",79,77,75,84,85,pass
3179,Collaboration,industry_veteran,How do you support teammates during pressure?,"During a sprint review, I tried to help but my answer was not very structured. I mentioned feedback, team, support, align and learned that I should communicate earlier. I shared the learning with others.",41,59,56,61,57,fail
3180,Stress handling,industry_veteran,Describe a high-pressure situation and your response.,"In my last project, I used a simple STAR structure. I focused on plan, breaks, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",69,58,69,53,62,pass
3181,Communication,mid_level_expert,Describe a time clear communication helped a project.,"In a university project, I clarified the result, listened to concerns, took ownership of my part, used clarify, summarize, simple language, and measured the result. I also reflected on what I would improve next time. The experience improved my confidence.",89,78,100,89,88,pass
3182,Attention to detail,industry_veteran,How do you review your work before delivery?,"During a team task, I used a simple STAR structure. I focused on edge cases, review, accuracy, quality, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",87,71,89,88,96,pass
3183,Communication,senior_professional,How do you explain complex work to non-technical people?,"During a team task, I used a simple STAR structure. I focused on summarize, clarify, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",66,57,63,68,79,pass
3184,Openness to learning,senior_professional,How do you respond when feedback shows you were wrong?,"In my last project, I used a simple STAR structure. I focused on mentor, course, practice, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",100,80,76,72,90,pass
3185,Collaboration,industry_veteran,Tell me about a time you worked with a difficult team situation.,"While handling a delivery, I tried to help but my answer was not very structured. I mentioned team, feedback and learned that I should communicate earlier. This helped me become more reliable.",77,70,64,63,78,pass
3186,Openness to learning,industry_veteran,Describe a time you learned a new tool quickly.,"While handling a delivery, I used a simple STAR structure. I focused on feedback, practice, course, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",70,62,70,76,61,fail
3187,Collaboration,mid_level_expert,Tell me about a time you worked with a difficult team situation.,"During a sprint review, I clarified the situation, listened to concerns, took ownership of my part, used shared goal, feedback, team, align, listen, and measured the result. I also reflected on what I would improve next time. The experience improved my confidence.",91,83,100,86,91,pass
3188,Attention to detail,junior_professional,How do you review your work before delivery?,"While handling a delivery, I clarified the action, listened to concerns, took ownership of my part, used review, documentation, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",89,100,74,100,79,pass
3189,Openness to learning,fresher,How do you respond when feedback shows you were wrong?,"In my last project, I used a simple STAR structure. I focused on reflection, course, practice, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",64,73,74,73,68,fail
3190,Attention to detail,mid_level_expert,Describe a time attention to detail prevented a problem.,"During a team task, I clarified the task, listened to concerns, took ownership of my part, used accuracy, review, edge cases, documentation, quality, and measured the result. I also reflected on what I would improve next time. I kept the discussion respectful.",79,86,88,90,85,pass
3191,Stress handling,mid_level_expert,Describe a high-pressure situation and your response.,"During a sprint review, I tried to help but my answer was not very structured. I mentioned plan, escalate, calm and learned that I should communicate earlier. This helped me become more reliable.",62,53,55,47,46,fail
3192,Openness to learning,mid_level_expert,Describe a time you learned a new tool quickly.,"In my last project, I clarified the action, listened to concerns, took ownership of my part, used course, mentor, practice, and measured the result. I also reflected on what I would improve next time. I shared the learning with others.",97,100,100,84,100,pass
3193,Stress handling,mid_level_expert,Describe a high-pressure situation and your response.,"In a university project, I tried to help but my answer was not very structured. I mentioned focus, escalate, plan and learned that I should communicate earlier. This helped me become more reliable.",31,44,31,40,34,fail
3194,Collaboration,industry_veteran,How do you support teammates during pressure?,"During a sprint review, I tried to help but my answer was not very structured. I mentioned team, listen, shared goal and learned that I should communicate earlier. I shared the learning with others.",27,15,41,38,38,fail
3195,Openness to learning,fresher,How do you respond when feedback shows you were wrong?,"In a university project, I clarified the situation, listened to concerns, took ownership of my part, used practice, course, feedback, reflection, mentor, and measured the result. I also reflected on what I would improve next time. The experience improved my confidence.",86,73,96,95,76,pass
3196,Communication,junior_professional,How do you explain complex work to non-technical people?,"In a university project, I clarified the task, listened to concerns, took ownership of my part, used updates, audience, clarify, simple language, and measured the result. I also reflected on what I would improve next time. I shared the learning with others.",93,96,79,82,89,pass
3197,Collaboration,junior_professional,Tell me about a time you worked with a difficult team situation.,"During a sprint review, I clarified the action, listened to concerns, took ownership of my part, used listen, team, feedback, support, and measured the result. I also reflected on what I would improve next time. I kept the discussion respectful.",62,69,68,58,71,pass
3198,Attention to detail,senior_professional,How do you review your work before delivery?,"In my last project, I tried to help but my answer was not very structured. I mentioned quality, checklist, accuracy and learned that I should communicate earlier. The experience improved my confidence.",29,59,66,51,48,fail
3199,Communication,fresher,Describe a time clear communication helped a project.,"While handling a delivery, I used a simple STAR structure. I focused on updates, simple language, audience, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",79,76,90,42,59,fail
3200,Openness to learning,industry_veteran,Describe a time you learned a new tool quickly.,"While handling a delivery, I tried to help but my answer was not very structured. I mentioned course, mentor, experiment, practice, reflection and learned that I should communicate earlier. I kept the discussion respectful.",34,27,37,30,35,fail
3201,Collaboration,junior_professional,How do you support teammates during pressure?,"While handling a delivery, I clarified the action, listened to concerns, took ownership of my part, used shared goal, align, support, feedback, and measured the result. I also reflected on what I would improve next time. I kept the discussion respectful.",93,100,100,100,96,pass
3202,Openness to learning,industry_veteran,How do you respond when feedback shows you were wrong?,"While handling a delivery, I used a simple STAR structure. I focused on reflection, practice, experiment, feedback, mentor, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",76,79,75,59,89,pass
3203,Attention to detail,junior_professional,How do you review your work before delivery?,"In a university project, I used a simple STAR structure. I focused on checklist, review, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",80,100,80,74,92,pass
3204,Communication,fresher,How do you explain complex work to non-technical people?,"In a university project, I clarified the task, listened to concerns, took ownership of my part, used simple language, clarify, and measured the result. I also reflected on what I would improve next time. I shared the learning with others.",99,97,78,100,85,pass
3205,Stress handling,industry_veteran,Describe a high-pressure situation and your response.,"In a university project, I used a simple STAR structure. I focused on escalate, breaks, plan, focus, prioritize, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",68,67,79,53,67,pass
3206,Communication,mid_level_expert,How do you explain complex work to non-technical people?,"In a university project, I used a simple STAR structure. I focused on summarize, simple language, audience, questions, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",78,51,68,57,60,fail
3207,Attention to detail,fresher,Describe a time attention to detail prevented a problem.,"In a university project, I clarified the result, listened to concerns, took ownership of my part, used accuracy, review, and measured the result. I also reflected on what I would improve next time. The experience improved my confidence.",100,78,100,92,83,pass
3208,Communication,junior_professional,How do you explain complex work to non-technical people?,"During a team task, I tried to help but my answer was not very structured. I mentioned audience, simple language, questions and learned that I should communicate earlier. I kept the discussion respectful.",39,63,51,49,50,fail
3209,Attention to detail,fresher,Describe a time attention to detail prevented a problem.,"During a sprint review, I clarified the result, listened to concerns, took ownership of my part, used quality, edge cases, accuracy, review, and measured the result. I also reflected on what I would improve next time. I kept the discussion respectful.",96,74,91,100,74,pass
3210,Stress handling,fresher,Describe a high-pressure situation and your response.,"While handling a delivery, I used a simple STAR structure. I focused on plan, prioritize, focus, calm, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",47,56,51,61,42,fail
3212,Collaboration,industry_veteran,Tell me about a time you worked with a difficult team situation.,"In my last project, I used a simple STAR structure. I focused on listen, team, shared goal, support, feedback, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",86,60,74,87,81,pass
3213,Stress handling,senior_professional,How do you stay productive during deadlines?,"During a sprint review, I used a simple STAR structure. I focused on prioritize, focus, plan, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",43,62,52,57,72,fail
3214,Stress handling,industry_veteran,How do you stay productive during deadlines?,"In a university project, I clarified the task, listened to concerns, took ownership of my part, used calm, focus, prioritize, and measured the result. I also reflected on what I would improve next time. I kept the discussion respectful.",64,83,68,76,82,pass
3216,Openness to learning,mid_level_expert,How do you respond when feedback shows you were wrong?,"In a university project, I clarified the result, listened to concerns, took ownership of my part, used reflection, mentor, practice, feedback, experiment, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",72,100,100,100,95,pass
3217,Communication,senior_professional,How do you explain complex work to non-technical people?,"During a sprint review, I used a simple STAR structure. I focused on simple language, audience, updates, questions, summarize, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",88,61,64,83,79,pass
3218,Communication,senior_professional,Describe a time clear communication helped a project.,"During a sprint review, I used a simple STAR structure. I focused on updates, questions, summarize, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",58,29,53,44,52,fail
3219,Openness to learning,fresher,Describe a time you learned a new tool quickly.,"While handling a delivery, I used a simple STAR structure. I focused on course, feedback, mentor, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",71,66,100,87,84,pass
3220,Attention to detail,mid_level_expert,Describe a time attention to detail prevented a problem.,"While handling a delivery, I used a simple STAR structure. I focused on documentation, accuracy, edge cases, checklist, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",92,73,53,52,75,pass
3221,Attention to detail,industry_veteran,Describe a time attention to detail prevented a problem.,"During a sprint review, I tried to help but my answer was not very structured. I mentioned documentation, review, edge cases, quality, accuracy and learned that I should communicate earlier. This helped me become more reliable.",16,42,12,44,41,fail
3222,Communication,mid_level_expert,How do you explain complex work to non-technical people?,"During a sprint review, I clarified the result, listened to concerns, took ownership of my part, used simple language, updates, questions, clarify, and measured the result. I also reflected on what I would improve next time. The experience improved my confidence.",93,100,100,87,100,pass
3223,Attention to detail,senior_professional,How do you review your work before delivery?,"During a sprint review, I clarified the task, listened to concerns, took ownership of my part, used checklist, accuracy, documentation, edge cases, quality, and measured the result. I also reflected on what I would improve next time. I kept the discussion respectful.",82,90,70,100,96,pass
3224,Collaboration,fresher,Tell me about a time you worked with a difficult team situation.,"During a sprint review, I clarified the result, listened to concerns, took ownership of my part, used feedback, support, listen, team, align, and measured the result. I also reflected on what I would improve next time. I kept the discussion respectful.",100,95,77,100,75,pass
3225,Collaboration,junior_professional,How do you support teammates during pressure?,"In my last project, I used a simple STAR structure. I focused on team, feedback, support, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",53,60,91,61,64,fail
3226,Stress handling,mid_level_expert,How do you stay productive during deadlines?,"During a team task, I used a simple STAR structure. I focused on breaks, focus, calm, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",64,49,66,66,54,fail
3227,Stress handling,senior_professional,How do you stay productive during deadlines?,"During a team task, I used a simple STAR structure. I focused on breaks, prioritize, calm, plan, focus, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",56,65,72,65,58,fail
3228,Openness to learning,industry_veteran,How do you respond when feedback shows you were wrong?,"During a team task, I used a simple STAR structure. I focused on course, mentor, practice, experiment, reflection, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",74,77,72,63,79,pass
3229,Communication,senior_professional,Describe a time clear communication helped a project.,"During a team task, I clarified the task, listened to concerns, took ownership of my part, used clarify, summarize, audience, updates, questions, and measured the result. I also reflected on what I would improve next time. I shared the learning with others.",83,72,100,90,86,pass
3230,Openness to learning,senior_professional,How do you respond when feedback shows you were wrong?,"During a sprint review, I used a simple STAR structure. I focused on feedback, reflection, practice, course, mentor, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",52,64,100,53,66,fail
3231,Openness to learning,junior_professional,How do you respond when feedback shows you were wrong?,"In a university project, I used a simple STAR structure. I focused on reflection, practice, experiment, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",63,67,42,65,45,fail
3232,Collaboration,senior_professional,Tell me about a time you worked with a difficult team situation.,"While handling a delivery, I tried to help but my answer was not very structured. I mentioned listen, align and learned that I should communicate earlier. This helped me become more reliable.",45,36,31,54,43,fail
3233,Attention to detail,mid_level_expert,How do you review your work before delivery?,"In my last project, I used a simple STAR structure. I focused on checklist, edge cases, quality, review, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",66,66,78,44,70,fail
