id,skill_area,experience_band,question,answer_text,word_count,keyword_hits,clarity_score,relevance_score,correctness_score,target_score,target_label
2034,DevOps,fresher,"How would you handle a DevOps problem for a university career platform? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include kubernetes, rollback, blue green deployment. I would communicate the risk clearly.",34,3,66,86,41,53,fail
2035,DevOps,senior_professional,"How would you handle a DevOps problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","I know the basic idea but I am not fully sure about the trade-offs. Relevant concepts include kubernetes, ci/cd, docker. I would communicate the risk clearly.",30,3,44,62,32,50,fail
2036,DevOps,mid_level_expert,"How would you handle a DevOps problem during a production incident? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include blue green deployment, docker, kubernetes, monitoring. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would communicate the risk clearly.",46,4,73,71,61,61,fail
2037,DevOps,industry_veteran,"How would you handle a DevOps problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include terraform, blue green deployment, ci/cd, rollback. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would communicate the risk clearly.",49,4,80,67,76,88,pass
2038,OOP,fresher,"How would you handle a OOP problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","My answer may miss some edge cases, but I can improve with practice. ",13,2,44,33,47,29,fail
2039,DSA,mid_level_expert,"How would you handle a DSA problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I know the basic idea but I am not fully sure about the trade-offs. Relevant concepts include dfs, binary search, hash map. I would communicate the risk clearly.",34,3,40,26,59,40,fail
2040,DBMS,industry_veteran,"How would you handle a DBMS problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include normalization, schema design, backup, locking, joins. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would also document assumptions, review the implementation with the team, and measure real user impact. I would keep the implementation simple where possible.",74,5,86,70,90,76,pass
2041,Django,junior_professional,"How would you handle a Django problem during a payment workflow? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include authentication, middleware, queryset, celery, orm. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would also document assumptions, review the implementation with the team, and measure real user impact. ",60,5,93,100,100,89,pass
2042,MERN Stack,fresher,"How would you handle a MERN Stack problem during a production incident? Explain constraints, trade-offs, and validation.","I would try a simple solution first and ask for help if it fails. Relevant concepts include express, state management, react. I would validate this with tests.",27,3,32,92,78,64,fail
2043,Artificial Intelligence,industry_veteran,"How would you handle a Artificial Intelligence problem for a high traffic web app? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include guardrails, latency, hallucination, vector search. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would validate this with tests.",48,4,69,77,71,83,pass
2044,DSA,junior_professional,"How would you handle a DSA problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include dynamic programming, bfs, dfs, heap. ",18,4,66,53,57,65,pass
2045,Software Engineering,fresher,"How would you handle a Software Engineering problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I would try a simple solution first and ask for help if it fails. Relevant concepts include scalability, debugging, architecture. I would communicate the risk clearly.",26,3,66,67,58,51,fail
2046,OOP,junior_professional,"How would you handle a OOP problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I would try a simple solution first and ask for help if it fails. Relevant concepts include inheritance, solid, interface. I would keep the implementation simple where possible.",28,3,13,55,52,41,fail
2047,DevOps,industry_veteran,"How would you handle a DevOps problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would try a simple solution first and ask for help if it fails. Relevant concepts include ci/cd, rollback, alerts. I would keep the implementation simple where possible.",31,3,55,37,62,58,fail
2048,React,fresher,"How would you handle a React problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include hooks, rendering, context, accessibility. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. ",41,4,77,81,77,64,fail
2049,React,fresher,"How would you handle a React problem for a high traffic web app? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include state, memoization, accessibility, context, rendering. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would also document assumptions, review the implementation with the team, and measure real user impact. I would keep the implementation simple where possible.",73,5,97,99,100,96,pass
2050,Software Engineering,mid_level_expert,"How would you handle a Software Engineering problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include maintainability, testing, architecture. ",24,3,67,86,90,73,pass
2051,Artificial Intelligence,junior_professional,"How would you handle a Artificial Intelligence problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include prompt engineering, latency, evaluation, reasoning. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would keep the implementation simple where possible.",55,4,26,88,65,52,fail
2052,Networking,industry_veteran,"How would you handle a Networking problem during a payment workflow? Explain constraints, trade-offs, and validation.","I would try a simple solution first and ask for help if it fails. Relevant concepts include latency, throughput, routing. ",19,3,48,47,61,39,fail
2053,MERN Stack,fresher,"How would you handle a MERN Stack problem for a university career platform? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include api integration, state management, jwt, routing. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would keep the implementation simple where possible.",47,4,53,71,75,66,fail
2054,React,junior_professional,"How would you handle a React problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I know the basic idea but I am not fully sure about the trade-offs. Relevant concepts include accessibility, props, hooks. ",24,3,44,40,46,43,fail
2055,React,senior_professional,"How would you handle a React problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I know the basic idea but I am not fully sure about the trade-offs. Relevant concepts include rendering, component, props. I would validate this with tests.",27,3,67,22,46,34,fail
2056,Machine Learning,junior_professional,"How would you handle a Machine Learning problem during a payment workflow? Explain constraints, trade-offs, and validation.","My answer may miss some edge cases, but I can improve with practice. ",18,2,19,51,46,40,fail
2057,MERN Stack,fresher,"How would you handle a MERN Stack problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include react, api integration, routing, express. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would keep the implementation simple where possible.",52,4,88,70,71,86,pass
2058,OOP,senior_professional,"How would you handle a OOP problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include inheritance, solid, polymorphism, encapsulation. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would validate this with tests.",47,4,77,90,80,62,fail
2059,DSA,senior_professional,"How would you handle a DSA problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include hash map, dfs, bfs, graphs. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. ",40,4,56,73,95,80,pass
2060,MERN Stack,fresher,"How would you handle a MERN Stack problem during a payment workflow? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include jwt, routing, react, api integration. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. ",45,4,83,59,94,60,fail
2061,Django,fresher,"How would you handle a Django problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include queryset, orm, middleware, rest api. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would communicate the risk clearly.",53,4,72,69,67,74,pass
2062,Operating Systems,industry_veteran,"How would you handle a Operating Systems problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include filesystem, mutex, memory management. I would communicate the risk clearly.",28,3,47,38,56,46,fail
2063,DevOps,mid_level_expert,"How would you handle a DevOps problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include terraform, blue green deployment, rollback, ci/cd, alerts. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would also document assumptions, review the implementation with the team, and measure real user impact. I would validate this with tests.",73,5,100,97,82,78,pass
2064,Software Engineering,fresher,"How would you handle a Software Engineering problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I know the basic idea but I am not fully sure about the trade-offs. Relevant concepts include trade-offs, scalability, requirements. I would validate this with tests.",25,3,28,37,52,49,fail
2065,DSA,industry_veteran,"How would you handle a DSA problem for a high traffic web app? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include hash map, bfs, graphs. I would communicate the risk clearly.",33,3,71,60,53,62,fail
2066,Artificial Intelligence,senior_professional,"How would you handle a Artificial Intelligence problem during a payment workflow? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include hallucination, evaluation, guardrails, vector search, latency. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would also document assumptions, review the implementation with the team, and measure real user impact. I would communicate the risk clearly.",74,5,81,100,84,86,pass
2067,Operating Systems,fresher,"How would you handle a Operating Systems problem during a payment workflow? Explain constraints, trade-offs, and validation.",I know the basic idea but I am not fully sure about the trade-offs. I would communicate the risk clearly.,23,2,11,35,49,18,fail
2068,DevOps,fresher,"How would you handle a DevOps problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include docker, rollback, blue green deployment, ci/cd. ",24,4,55,74,43,60,fail
2069,Artificial Intelligence,fresher,"How would you handle a Artificial Intelligence problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include latency, vector search, evaluation, reasoning, guardrails. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would also document assumptions, review the implementation with the team, and measure real user impact. I would keep the implementation simple where possible.",64,5,76,77,66,71,pass
2070,Machine Learning,junior_professional,"How would you handle a Machine Learning problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include metrics, bias, cross validation, serving. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would communicate the risk clearly.",50,4,97,77,55,79,pass
2071,Software Engineering,senior_professional,"How would you handle a Software Engineering problem for a reporting dashboard? Explain constraints, trade-offs, and validation.",I would try a simple solution first and ask for help if it fails. I would validate this with tests.,28,2,31,53,46,17,fail
2072,OOP,mid_level_expert,"How would you handle a OOP problem in a logistics dashboard? Explain constraints, trade-offs, and validation.",I know the basic idea but I am not fully sure about the trade-offs. ,14,2,27,51,41,29,fail
2073,DSA,senior_professional,"How would you handle a DSA problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I know the basic idea but I am not fully sure about the trade-offs. Relevant concepts include heap, dfs, hash map. I would keep the implementation simple where possible.",29,3,43,26,50,63,fail
2074,OOP,senior_professional,"How would you handle a OOP problem during a payment workflow? Explain constraints, trade-offs, and validation.","I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. Relevant concepts include solid, composition, design pattern, abstraction, interface. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would validate this with tests.",40,5,91,100,94,99,pass
2075,MERN Stack,junior_professional,"How would you handle a MERN Stack problem for a high traffic web app? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include jwt, routing, state management, node. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. ",38,4,91,73,65,78,pass
2076,React,fresher,"How would you handle a React problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include hooks, accessibility, rendering, memoization. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. ",37,4,91,67,63,64,fail
2077,React,industry_veteran,"How would you handle a React problem for a reporting dashboard? Explain constraints, trade-offs, and validation.",I would try a simple solution first and ask for help if it fails. I would validate this with tests.,27,2,50,50,20,58,fail
2078,Django,fresher,"How would you handle a Django problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include rest api, celery, caching. I would keep the implementation simple where possible.",31,3,51,55,46,68,fail
2079,Software Engineering,fresher,"How would you handle a Software Engineering problem for a university career platform? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include scalability, trade-offs, maintainability, requirements. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would keep the implementation simple where possible.",45,4,71,57,80,68,fail
2080,Operating Systems,mid_level_expert,"How would you handle a Operating Systems problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","My answer may miss some edge cases, but I can improve with practice. Relevant concepts include thread, paging, process. I would validate this with tests.",27,3,46,59,36,41,fail
2081,React,fresher,"How would you handle a React problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include component, accessibility, hooks, memoization, context. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would also document assumptions, review the implementation with the team, and measure real user impact. I would keep the implementation simple where possible.",72,5,59,66,100,86,pass
2082,Software Engineering,mid_level_expert,"How would you handle a Software Engineering problem for a high traffic web app? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include architecture, requirements, code review, trade-offs. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would communicate the risk clearly.",42,4,69,90,66,68,pass
2083,DevOps,mid_level_expert,"How would you handle a DevOps problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","I would try a simple solution first and ask for help if it fails. Relevant concepts include ci/cd, monitoring, rollback. I would validate this with tests.",25,3,48,46,44,55,fail
2084,Operating Systems,fresher,"How would you handle a Operating Systems problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include paging, memory management, process. I would validate this with tests.",30,3,63,70,75,62,fail
2085,Machine Learning,fresher,"How would you handle a Machine Learning problem for a high traffic web app? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include overfitting, validation, cross validation, drift. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would validate this with tests.",51,4,68,62,82,62,fail
2086,React,junior_professional,"How would you handle a React problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include accessibility, rendering, props, component. ",23,4,64,63,99,57,fail
2087,Operating Systems,industry_veteran,"How would you handle a Operating Systems problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include mutex, filesystem, paging. I would validate this with tests.",24,3,33,61,51,53,fail
2088,Networking,industry_veteran,"How would you handle a Networking problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include throughput, packet loss, dns, latency. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would keep the implementation simple where possible.",49,4,85,94,57,71,pass
2089,DBMS,fresher,"How would you handle a DBMS problem for a reporting dashboard? Explain constraints, trade-offs, and validation.",I would try a simple solution first and ask for help if it fails. I would keep the implementation simple where possible.,20,2,43,48,68,52,fail
2090,Machine Learning,industry_veteran,"How would you handle a Machine Learning problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include serving, drift, cross validation, feature engineering. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would validate this with tests.",44,4,69,58,62,59,fail
2091,Machine Learning,fresher,"How would you handle a Machine Learning problem for a high traffic web app? Explain constraints, trade-offs, and validation.","My answer may miss some edge cases, but I can improve with practice. Relevant concepts include metrics, overfitting, serving. I would communicate the risk clearly.",28,3,57,53,31,36,fail
2092,DevOps,mid_level_expert,"How would you handle a DevOps problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include blue green deployment, monitoring, terraform. I would validate this with tests.",31,3,70,64,67,65,fail
2093,Django,senior_professional,"How would you handle a Django problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. Relevant concepts include serializer, rest api, caching, orm, authentication. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would also document assumptions, review the implementation with the team, and measure real user impact. ",60,5,100,97,88,82,pass
2094,DBMS,industry_veteran,"How would you handle a DBMS problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include indexing, joins, backup, query plan, schema design. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would also document assumptions, review the implementation with the team, and measure real user impact. I would validate this with tests.",68,5,90,56,85,77,pass
2095,Artificial Intelligence,mid_level_expert,"How would you handle a Artificial Intelligence problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. Relevant concepts include latency, prompt engineering, guardrails, retrieval. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would validate this with tests.",39,4,62,66,90,71,pass
2096,Django,junior_professional,"How would you handle a Django problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include orm, celery, authentication, caching. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would communicate the risk clearly.",42,4,66,69,66,74,pass
2097,DSA,mid_level_expert,"How would you handle a DSA problem during a payment workflow? Explain constraints, trade-offs, and validation.","I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. Relevant concepts include graphs, dfs, complexity, hash map. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would communicate the risk clearly.",52,4,78,58,100,78,pass
2098,Software Engineering,mid_level_expert,"How would you handle a Software Engineering problem during a production incident? Explain constraints, trade-offs, and validation.","My answer may miss some edge cases, but I can improve with practice. Relevant concepts include code review, architecture, debugging. ",24,3,39,30,52,40,fail
2099,Machine Learning,junior_professional,"How would you handle a Machine Learning problem during a payment workflow? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include serving, cross validation, validation. I would communicate the risk clearly.",24,3,76,53,46,60,fail
2100,DBMS,fresher,"How would you handle a DBMS problem for a high traffic web app? Explain constraints, trade-offs, and validation.","I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. Relevant concepts include locking, indexing, transactions, joins, backup. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would also document assumptions, review the implementation with the team, and measure real user impact. I would validate this with tests.",63,5,95,86,93,81,pass
2101,DBMS,mid_level_expert,"How would you handle a DBMS problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. Relevant concepts include locking, query plan, backup, schema design, normalization. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would also document assumptions, review the implementation with the team, and measure real user impact. I would validate this with tests.",71,5,100,100,100,92,pass
2102,DSA,mid_level_expert,"How would you handle a DSA problem during a production incident? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include dfs, binary search, complexity. ",21,3,72,25,84,41,fail
2103,DBMS,junior_professional,"How would you handle a DBMS problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include indexing, locking, backup. I would keep the implementation simple where possible.",24,3,51,58,56,59,fail
2104,Artificial Intelligence,junior_professional,"How would you handle a Artificial Intelligence problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include latency, retrieval, hallucination, guardrails. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. ",45,4,67,83,72,71,pass
2105,Operating Systems,senior_professional,"How would you handle a Operating Systems problem in a logistics dashboard? Explain constraints, trade-offs, and validation.",I would try a simple solution first and ask for help if it fails. ,12,2,43,45,36,36,fail
2106,Networking,fresher,"How would you handle a Networking problem in a mobile app backend? Explain constraints, trade-offs, and validation.",I know the basic idea but I am not fully sure about the trade-offs. ,18,2,36,45,25,21,fail
2107,MERN Stack,industry_veteran,"How would you handle a MERN Stack problem for a university career platform? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include state management, routing, node, api integration. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would validate this with tests.",51,4,73,65,77,63,fail
2108,DSA,junior_professional,"How would you handle a DSA problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. Relevant concepts include bfs, dfs, graphs, hash map, heap. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would also document assumptions, review the implementation with the team, and measure real user impact. I would validate this with tests.",66,5,76,90,86,79,pass
2109,Software Engineering,junior_professional,"How would you handle a Software Engineering problem for a university career platform? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include maintainability, scalability, code review, requirements, testing. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would also document assumptions, review the implementation with the team, and measure real user impact. I would validate this with tests.",66,5,75,93,79,79,pass
2110,MERN Stack,fresher,"How would you handle a MERN Stack problem during a payment workflow? Explain constraints, trade-offs, and validation.","I know the basic idea but I am not fully sure about the trade-offs. Relevant concepts include mongo, routing, jwt. ",27,3,52,53,50,49,fail
2111,DBMS,junior_professional,"How would you handle a DBMS problem during a payment workflow? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include schema design, normalization, backup, locking, joins. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would also document assumptions, review the implementation with the team, and measure real user impact. I would validate this with tests.",64,5,73,100,79,67,fail
2112,DBMS,senior_professional,"How would you handle a DBMS problem for a high traffic web app? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include indexing, backup, joins, normalization. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. ",37,4,71,57,78,87,pass
2113,Machine Learning,mid_level_expert,"How would you handle a Machine Learning problem during a production incident? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include validation, bias, cross validation, serving, drift. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would also document assumptions, review the implementation with the team, and measure real user impact. I would validate this with tests.",71,5,74,88,59,77,pass
2114,Networking,mid_level_expert,"How would you handle a Networking problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include throughput, latency, tcp, routing, packet loss. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would also document assumptions, review the implementation with the team, and measure real user impact. ",61,5,81,83,76,84,pass
2115,DevOps,industry_veteran,"How would you handle a DevOps problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include ci/cd, docker, blue green deployment, rollback. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. ",45,4,89,77,65,89,pass
2116,DSA,industry_veteran,"How would you handle a DSA problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. Relevant concepts include dynamic programming, complexity, dfs, binary search, bfs. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would also document assumptions, review the implementation with the team, and measure real user impact. I would validate this with tests.",70,5,84,64,99,73,pass
2117,DSA,junior_professional,"How would you handle a DSA problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include dynamic programming, dfs, heap, hash map, complexity. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would also document assumptions, review the implementation with the team, and measure real user impact. ",59,5,100,87,100,100,pass
2118,Operating Systems,fresher,"How would you handle a Operating Systems problem for a high traffic web app? Explain constraints, trade-offs, and validation.","I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. Relevant concepts include mutex, scheduling, thread, filesystem. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would keep the implementation simple where possible.",46,4,62,69,76,75,pass
2119,Artificial Intelligence,fresher,"How would you handle a Artificial Intelligence problem for a university career platform? Explain constraints, trade-offs, and validation.","I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. Relevant concepts include retrieval, vector search, reasoning, latency. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would validate this with tests.",48,4,69,69,84,60,fail
2120,DBMS,industry_veteran,"How would you handle a DBMS problem for a university career platform? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include schema design, backup, indexing, normalization. I would validate this with tests.",31,4,65,43,94,56,fail
2121,React,senior_professional,"How would you handle a React problem during a production incident? Explain constraints, trade-offs, and validation.","I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. Relevant concepts include accessibility, rendering, memoization, hooks, state. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would also document assumptions, review the implementation with the team, and measure real user impact. I would keep the implementation simple where possible.",57,5,94,98,100,81,pass
2122,Machine Learning,mid_level_expert,"How would you handle a Machine Learning problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include metrics, serving, drift, overfitting. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would communicate the risk clearly.",49,4,92,78,74,66,fail
2123,MERN Stack,industry_veteran,"How would you handle a MERN Stack problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","My answer may miss some edge cases, but I can improve with practice. Relevant concepts include mongo, express, state management. I would keep the implementation simple where possible.",25,3,52,36,63,43,fail
2124,Machine Learning,senior_professional,"How would you handle a Machine Learning problem for a university career platform? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include metrics, serving, drift, feature engineering. I would keep the implementation simple where possible.",32,4,63,57,51,65,fail
2125,DevOps,junior_professional,"How would you handle a DevOps problem during a payment workflow? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include monitoring, docker, rollback. ",21,3,64,73,32,59,fail
